name,year,genre,rating,director,votes
Fear Street: Part Three - 1666,2021,Horror/Mystery,6.6,Leigh Janiak,"57,741"
Demons,1985,Horror,6.6,Lamberto Bava,"25,101"
The Eye,2002,Fantasy/Horror/Mystery,6.6,Danny Pang,"29,645"
Smile V,2022,Horror/Mystery/Thriller,6.5,Parker Finn,130696
Evil Dead,2013,Horror,6.5,Fede Alvarez,187737
It Chapter Two,2019,Drama/Fantasy/Horror,6.5,Andy Muschietti,281137
Gerald's Game,2017,Drama/Horror/Thriller,6.5,Mike Flanagan,117039
The Hunt II,2020,Action/Horror/Thriller,6.5,Craig Zobel,120400
Silent Hill,2006,Horror/Mystery,6.5,Christophe Gans,236727
Antichrist,2009,Drama/Horror/Thriller,6.5,Lars von Trier,131305
Insidious: Chapter 2,2013,Horror/Mystery/Thriller,6.5,James Wan,177423
The Last House on the Left,2009,Horror/Thriller,6.5,Dennis Iliadis,"96,680"
The Night House,2020,Horror/Mystery/Thriller,6.5,David Bruckner,"60,235"
Host II,2020,Horror/Mystery,6.5,Rob Savage,"34,122"
Mandy I,2018,Action/Fantasy/Horror,6.5,Panos Cosmatos,"83,932"
The Girl Next Door,2007,Crime/Drama/Horror,6.5,Gregory Wilson,"27,817"
Titane,2021,Drama/Horror/Sci-Fi,6.5,Julia Ducournau,"50,494"
Slither,2006,Comedy/Horror/Sci-Fi,6.5,James Gunn,"85,847"
The Blair Witch Project,1999,Horror/Mystery,6.5,Daniel Myrick,271349
The Endless I,2017,Drama/Fantasy/Horror,6.5,Justin Benson,"46,030"
Oculus,2013,Horror/Mystery/Thriller,6.5,Mike Flanagan,133932
The Howling,1981,Horror,6.5,Joe Dante,"38,157"
Annabelle: Creation,2017,Horror/Mystery/Thriller,6.5,David F. Sandberg,141513
Possessor,2020,Horror/Mystery/Sci-Fi,6.5,Brandon Cronenberg,"41,017"
Crimson Peak,2015,Drama/Horror/Mystery,6.5,Guillermo del Toro,153040
Halloween I,2018,Crime/Horror/Thriller,6.5,David Gordon Green,160731
Pet Sematary,1989,Fantasy/Horror/Thriller,6.5,Mary Lambert,109162
The Final Girls,2015,Comedy/Fantasy/Horror,6.5,Todd Strauss-Schulson,"48,852"
Arachnophobia,1990,Comedy/Horror/Thriller,6.5,Frank Marshall,"72,630"
The Crazies,2010,Horror/Thriller,6.5,Breck Eisner,125273
His House,2020,Drama/Horror/Thriller,6.5,Remi Weekes,"45,081"
The Skeleton Key,2005,Drama/Horror/Mystery,6.5,Iain Softley,118968
Better Watch Out II,2016,Comedy/Horror/Thriller,6.5,Chris Peckover,"42,119"
The Exorcist III,1990,Drama/Horror/Mystery,6.5,William Peter Blatty,"34,521"
The Witches of Eastwick,1987,Comedy/Fantasy/Horror,6.5,George Miller,"73,547"
Halloween II,1981,Horror,6.5,Rick Rosenthal,"96,004"
Flatliners,1990,Drama/Horror/Sci-Fi,6.5,Joel Schumacher,"90,146"
Dead End I,2003,Adventure/Horror/Mystery,6.5,Jean-Baptiste Andrea,"30,416"
Byzantium,2012,Drama/Fantasy/Horror,6.5,Neil Jordan,"44,832"
Time Lapse,2014,Horror/Mystery/Sci-Fi,6.5,Bradley King,"47,416"
Bad Taste,1987,Comedy/Horror/Sci-Fi,6.5,Peter Jackson,"48,108"
Pontypool,2008,Horror/Sci-Fi,6.5,Bruce McDonald,"33,734"
[Rec]2,2009,Horror/Thriller,6.5,Jaume Balaguer車,"75,857"
Sightseers,2012,Adventure/Comedy/Crime,6.5,Ben Wheatley,"29,544"
Renfield,2023,Comedy/Fantasy/Horror,6.4,Chris McKay,"47,540"
M3GAN,2022,Horror/Sci-Fi/Thriller,6.4,Gerard Johnstone,106598
Alien: Covenant,2017,Horror/Sci-Fi/Thriller,6.4,Ridley Scott,290465
Escape Room I,2019,Action/Adventure/Horror,6.4,Adam Robitel,131872
Friday the 13th,1980,Horror/Mystery/Thriller,6.4,Sean S. Cunningham,146665
The Craft,1996,Drama/Fantasy/Horror,6.4,Andrew Fleming,"99,986"
The Hills Have Eyes,2006,Horror/Thriller,6.4,Alexandre Aja,177032
Alien3,1992,Action/Horror/Sci-Fi,6.4,David Fincher,308197
A Cure for Wellness,2016,Drama/Fantasy/Horror,6.4,Gore Verbinski,104306
The Cell,2000,Crime/Horror/Sci-Fi,6.4,Tarsem Singh,105734
Revenge II,2017,Action/Drama/Horror,6.4,Coralie Fargeat,"45,825"
Fright Night,2011,Comedy/Horror,6.4,Craig Gillespie,109829
Twilight Zone: The Movie,1983,Horror/Sci-Fi,6.4,Joe Dante,"39,519"
Incident in a Ghostland,2018,Drama/Horror/Mystery,6.4,Pascal Laugier,"35,958"
The Purge: Anarchy,2014,Action/Horror/Sci-Fi,6.4,James DeMonaco,156986
Gremlins 2: The New Batch,1990,Comedy/Fantasy/Horror,6.4,Joe Dante,108188
Black Death,2010,Action/Drama/History,6.4,Christopher Smith,"49,744"
The People Under the Stairs,1991,Comedy/Horror/Mystery,6.4,Wes Craven,"37,305"
Horns,2013,Comedy/Crime/Drama,6.4,Alexandre Aja,"85,762"
The Serpent and the Rainbow,1988,Fantasy/Horror,6.4,Wes Craven,"26,707"
Tale of Tales,2015,Drama/Fantasy/Horror,6.4,Matteo Garrone,"29,867"
Daybreakers,2009,Action/Horror/Sci-Fi,6.4,Michael Spierig,131778
The Woman in Black,2012,Drama/Fantasy/Horror,6.4,James Watkins,187998
Silver Bullet,1985,Horror,6.4,Daniel Attias,"29,605"
Sputnik,2020,Drama/Horror/Mystery,6.4,Egor Abramenko,"25,687"
Kill List,2011,Action/Crime/Horror,6.4,Ben Wheatley,"42,875"
New Nightmare,1994,Fantasy/Horror/Mystery,6.4,Wes Craven,"61,174"
Repo! The Genetic Opera,2008,Horror/Musical/Sci-Fi,6.4,Darren Lynn Bousman,"25,810"
The Mothman Prophecies,2002,Drama/Horror/Mystery,6.4,Mark Pellington,"82,494"
Session 9,2001,Drama/Horror/Mystery,6.4,Brad Anderson,"60,761"
Unsane,2018,Drama/Horror/Mystery,6.4,Steven Soderbergh,"48,245"
Creep 2,2017,Crime/Drama/Horror,6.4,Patrick Brice,"29,300"
Hellbound: Hellraiser II,1988,Horror/Thriller,6.4,Tony Randel,"53,253"
The Awakening I,2011,Drama/Horror/Mystery,6.4,Nick Murphy,"67,806"
Ghost Stories I,2017,Drama/Horror,6.4,Jeremy Dyson,"35,682"
The Prophecy,1995,Action/Crime/Drama,6.4,Gregory Widen,"32,198"
Severance,2006,Comedy/Horror,6.4,Christopher Smith,"39,807"
Them,2006,Horror/Thriller,6.4,David Moreau,"31,377"
Stake Land,2010,Drama/Horror/Sci-Fi,6.4,Jim Mickle,"43,421"
Night Watch,2004,Action/Fantasy/Horror,6.4,Timur Bekmambetov,"54,703"
Resident Evil: Degeneration,2008,Animation/Action/Horror,6.4,Makoto Kamiya,"32,199"
Day Watch,2006,Action/Fantasy/Horror,6.4,Timur Bekmambetov,"34,927"
Scream I,2022,Horror/Mystery/Thriller,6.3,Matt Bettinelli-Olpin,138199
Under the Skin I,2013,Drama/Horror/Mystery,6.3,Jonathan Glazer,149804
Watcher I,2022,Drama/Horror/Thriller,6.3,Chloe Okuno,"32,756"
Scream 2,1997,Horror/Mystery,6.3,Wes Craven,197955
The Babysitter I,2017,Comedy/Horror,6.3,McG,100574
The Ritual I,2017,Horror/Mystery/Thriller,6.3,David Bruckner,108985
Lights Out II,2016,Horror/Mystery,6.3,David F. Sandberg,135897
The Conjuring: The Devil Made Me Do It,2021,Horror/Mystery/Thriller,6.3,Michael Chaves,125072
Scouts Guide to the Zombie Apocalypse,2015,Action/Comedy/Horror,6.3,Christopher Landon,"52,616"
Freaky,2020,Comedy/Horror/Thriller,6.3,Christopher Landon,"65,509"
Lamb,2021,Drama/Fantasy/Horror,6.3,Valdimar J車hannsson,"32,600"
The Shallows,2016,Action/Drama/Horror,6.3,Jaume Collet-Serra,138096
Paranormal Activity,2007,Horror/Mystery,6.3,Oren Peli,247532
Creep I,2014,Horror/Thriller,6.3,Patrick Brice,"60,918"
Devil,2010,Horror/Mystery/Thriller,6.3,John Erick Dowdle,151728
Goosebumps,2015,Adventure/Comedy/Fantasy,6.3,Rob Letterman,"91,906"
Cargo I,2017,Drama/Horror/Sci-Fi,6.3,Ben Howling,"45,890"
Predator 2,1990,Action/Horror/Sci-Fi,6.3,Stephen Hopkins,174998
The Collector I,2009,Action/Horror/Thriller,6.3,Marcus Dunstan,"68,646"
Haunt I,2019,Horror/Thriller,6.3,Scott Beck,"32,410"
Hotel Transylvania 3: Summer Vacation,2018,Animation/Adventure/Comedy,6.3,Genndy Tartakovsky,"79,162"
#Alive,2020,Action/Drama/Horror,6.3,Il Cho,"43,683"
Apostle,2018,Drama/Fantasy/Horror,6.3,Gareth Evans,"55,806"
The Hills Have Eyes,1977,Horror/Thriller,6.3,Wes Craven,"37,196"
Lake Mungo,2008,Drama/Horror/Mystery,6.3,Joel Anderson,"25,556"
Dark Skies,2013,Horror/Sci-Fi/Thriller,6.3,Scott Stewart,"77,749"
The House of the Devil,2009,Horror/Mystery,6.3,Ti West,"49,019"
Frankenstein,1994,Drama/Horror/Romance,6.3,Kenneth Branagh,"57,239"
The Voices,2014,Comedy/Crime/Horror,6.3,Marjane Satrapi,"59,828"
Berlin Syndrome,2017,Drama/Horror/Mystery,6.3,Cate Shortland,"26,480"
The Uninvited,2009,Drama/Fantasy/Horror,6.3,Charles Guard,"82,545"
Cat's Eye,1985,Comedy/Horror/Thriller,6.3,Lewis Teague,"26,850"
Underworld: Awakening,2012,Action/Fantasy/Horror,6.3,M?ns M?rlind,157941
The Vanishing,1993,Drama/Horror/Mystery,6.3,George Sluizer,"26,987"
Mindhunters,2004,Crime/Horror/Thriller,6.3,Renny Harlin,"62,706"
The Bar,2017,Horror/Thriller,6.3,芍lex de la Iglesia,"28,011"
The Blob,1958,Horror/Sci-Fi,6.3,Irvin S. Yeaworth Jr.,"27,852"
Screamers,1995,Horror/Sci-Fi/Thriller,6.3,Christian Duguay,"28,447"
Dead Snow,2009,Comedy/Fantasy/Horror,6.3,Tommy Wirkola,"68,631"
13 Sins,2014,Horror/Thriller,6.3,Daniel Stamm,"37,811"
Tideland,2005,Drama/Fantasy/Horror,6.3,Terry Gilliam,"34,068"
John Dies at the End,2012,Comedy/Fantasy/Horror,6.3,Don Coscarelli,"39,473"
Bodies Bodies Bodies,2022,Comedy/Horror/Thriller,6.2,Halina Reijn,"51,654"
Scream 4,2011,Comedy/Horror/Mystery,6.2,Wes Craven,162144
Malignant I,2021,Crime/Horror/Mystery,6.2,James Wan,"98,740"
The Empty Man,2020,Drama/Horror/Mystery,6.2,David Prior,"33,524"
I Spit on Your Grave,2010,Horror/Thriller,6.2,Steven R. Monroe,"88,102"
The Visit I,2015,Horror/Mystery/Thriller,6.2,M. Night Shyamalan,142097
Jeepers Creepers,2001,Horror/Mystery,6.2,Victor Salva,135446
The Thing I,2011,Horror/Mystery/Sci-Fi,6.2,Matthijs van Heijningen Jr.,139897
Mama I,2013,Fantasy/Horror/Thriller,6.2,Andy Muschietti,186159
"As Above, So Below",2014,Horror/Mystery/Thriller,6.2,John Erick Dowdle,101124
Synchronic,2019,Drama/Horror/Mystery,6.2,Justin Benson,"35,972"
Wolf Creek,2005,Horror/Thriller,6.2,Greg McLean,"75,604"
Dark Shadows,2012,Comedy/Fantasy/Horror,6.2,Tim Burton,273371
Alien: Resurrection,1997,Action/Horror/Sci-Fi,6.2,Jean-Pierre Jeunet,254632
Sleepaway Camp,1983,Horror,6.2,Robert Hiltzik,"35,167"
1922,2017,Crime/Drama/Horror,6.2,Zak Hilditch,"67,579"
Dracula Untold,2014,Action/Drama/Fantasy,6.2,Gary Shore,201494
Final Destination 2,2003,Horror/Thriller,6.2,David R. Ellis,174051
The Texas Chainsaw Massacre,2003,Crime/Horror,6.2,Marcus Nispel,147172
Fear Street: Part One - 1994,2021,Drama/Horror/Mystery,6.2,Leigh Janiak,"86,732"
Scary Stories to Tell in the Dark,2019,Adventure/Horror/Mystery,6.2,Andr谷 ?vredal,"80,434"
Color Out of Space,2019,Horror/Mystery/Sci-Fi,6.2,Richard Stanley,"52,020"
Deliver Us from Evil I,2014,Action/Adventure/Crime,6.2,Scott Derrickson,"81,017"
It Comes at Night,2017,Drama/Horror/Mystery,6.2,Trey Edward Shults,"98,054"
Ver車nica I,2017,Horror,6.2,Paco Plaza,"44,074"
Case 39,2009,Horror/Mystery/Thriller,6.2,Christian Alvart,"90,324"
Ouija: Origin of Evil,2016,Drama/Horror/Mystery,6.2,Mike Flanagan,"68,575"
The Toxic Avenger,1984,Action/Comedy/Horror,6.2,Michael Herz,"30,117"
Killer Klowns from Outer Space,1988,Comedy/Horror/Sci-Fi,6.2,Stephen Chiodo,"41,538"
Feast,2005,Action/Comedy/Horror,6.2,John Gulager,"32,911"
Rogue,2007,Action/Drama/Horror,6.2,Greg McLean,"32,128"
Resident Evil: Extinction,2007,Action/Horror/Sci-Fi,6.2,Russell Mulcahy,200494
Idle Hands,1999,Comedy/Fantasy/Horror,6.2,Rodman Flender,"45,083"
The Perfection,2018,Drama/Horror/Music,6.2,Richard Shepard,"46,777"
Saw III,2006,Horror/Mystery/Thriller,6.2,Darren Lynn Bousman,199970
American Mary,2012,Drama/Horror,6.2,Jen Soska,"26,866"
Before I Wake,2016,Drama/Fantasy/Horror,6.2,Mike Flanagan,"49,193"
Vacancy,2007,Horror/Thriller,6.2,Nimr車d Antal,104096
Wolf,1994,Drama/Horror/Romance,6.2,Mike Nichols,"58,267"
Land of the Dead,2005,Horror/Sci-Fi/Thriller,6.2,George A. Romero,"98,740"
Frontier(s),2007,Horror,6.2,Xavier Gens,"27,825"
Stigmata,1999,Horror/Mystery,6.2,Rupert Wainwright,"70,383"
Happy Death Day 2U,2019,Comedy/Horror/Mystery,6.2,Christopher Landon,"79,669"
Damien: Omen II,1978,Horror,6.2,Don Taylor,"33,729"
Pumpkinhead,1988,Fantasy/Horror,6.2,Stan Winston,"25,833"
Krampus I,2015,Comedy/Drama/Fantasy,6.2,Michael Dougherty,"79,013"
Needful Things,1993,Crime/Drama/Fantasy,6.2,Fraser C. Heston,"26,291"
Open Grave,2013,Horror/Mystery/Sci-Fi,6.2,Gonzalo L車pez-Gallego,"30,633"
The Pope's Exorcist,2023,Horror/Thriller,6.1,Julius Avery,"39,847"
Knock at the Cabin,2023,Horror/Mystery/Thriller,6.1,M. Night Shyamalan,"79,345"
Terrifier 2,2022,Horror,6.1,Damien Leone,"36,262"
Infinity Pool,2023,Crime/Horror/Mystery,6.1,Brandon Cronenberg,"31,699"
Men,2022,Drama/Fantasy/Horror,6.1,Alex Garland,"51,808"
We Have a Ghost,2023,Adventure/Comedy/Family,6.1,Christopher Landon,"26,782"
Wrong Turn I,2003,Horror/Thriller,6.1,Rob Schmidt,125830
Lifeforce,1985,Action/Horror/Mystery,6.1,Tobe Hooper,"27,500"
The Neon Demon,2016,Horror/Thriller,6.1,Nicolas Winding Refn,"99,889"
Brightburn,2019,Drama/Horror/Mystery,6.1,David Yarovesky,102749
The Strangers,2008,Horror/Mystery/Thriller,6.1,Bryan Bertino,136286
Day Shift,2022,Action/Comedy/Fantasy,6.1,J.J. Perry,"83,554"
Insidious: Chapter 3,2015,Horror/Mystery/Thriller,6.1,Leigh Whannell,109420
Friday the 13th Part 2,1981,Horror/Mystery/Thriller,6.1,Steve Miner,"72,452"
Crawl I,2019,Action/Adventure/Horror,6.1,Alexandre Aja,"88,669"
Hansel & Gretel: Witch Hunters,2013,Action/Fantasy/Horror,6.1,Tommy Wirkola,211488
Blood Red Sky,2021,Action/Adventure/Drama,6.1,Peter Thorwarth,"51,766"
Resident Evil: Apocalypse,2004,Action/Horror/Sci-Fi,6.1,Alexander Witt,204741
Maniac,2012,Horror/Thriller,6.1,Franck Khalfoun,"39,045"
The Oxford Murders,2008,Crime/Horror/Mystery,6.1,芍lex de la Iglesia,"29,932"
The Belko Experiment,2016,Horror/Thriller,6.1,Greg McLean,"54,266"
Dead Silence,2007,Horror/Mystery/Thriller,6.1,James Wan,"98,073"
Mirrors I,2008,Horror/Mystery,6.1,Alexandre Aja,110546
The Amityville Horror,1979,Horror,6.1,Stuart Rosenberg,"41,808"
Critters,1986,Comedy/Horror/Sci-Fi,6.1,Stephen Herek,"37,388"
Deep Rising,1998,Action/Adventure/Horror,6.1,Stephen Sommers,"39,064"
Grave Encounters,2011,Horror/Mystery,6.1,Colin Minihan,"60,845"
Vampires,1998,Action/Horror/Thriller,6.1,John Carpenter,"61,502"
House,1985,Comedy/Fantasy/Horror,6.1,Steve Miner,"28,520"
Cujo,1983,Horror/Thriller,6.1,Lewis Teague,"48,166"
The Collection II,2012,Action/Adventure/Horror,6.1,Marcus Dunstan,"51,960"
Red State,2011,Action/Crime/Horror,6.1,Kevin Smith,"65,843"
Splinter I,2008,Crime/Horror/Sci-Fi,6.1,Toby Wilkins,"39,450"
Bug,2006,Drama/Horror/Thriller,6.1,William Friedkin,"36,331"
Solomon Kane,2009,Action/Adventure/Fantasy,6.1,M.J. Bassett,"74,932"
Hobo with a Shotgun,2011,Action/Comedy/Horror,6.1,Jason Eisener,"47,548"
Hellraiser,2022,Horror/Mystery/Thriller,6,David Bruckner,"42,407"
Don't Breathe 2,2021,Action/Crime/Horror,6,Rodo Sayagues,"63,822"
The Woman I,2011,Drama/Horror/Thriller,6,Lucky McKee,"25,113"
Mr. Harrigan's Phone,2022,Drama/Horror/Mystery,6,John Lee Hancock,"34,530"
The Lodge,2019,Drama/Horror/Mystery,6,Severin Fiala,"51,924"
Hotel Transylvania: Transformania,2022,Animation/Adventure/Comedy,6,Derek Drymon,"34,432"
6 Souls,2010,Horror/Thriller,6,M?ns M?rlind,"35,364"
House of 1000 Corpses,2003,Horror,6,Rob Zombie,"89,420"
Halloween,2007,Horror,6,Rob Zombie,125977
The Taking of Deborah Logan,2014,Horror/Mystery/Thriller,6,Adam Robitel,"35,691"
The Boy,2016,Horror/Mystery/Thriller,6,William Brent Bell,"97,224"
Friday the 13th: The Final Chapter,1984,Horror/Thriller,6,Joseph Zito,"55,244"
The Midnight Meat Train,2008,Horror/Mystery/Thriller,6,Ry?hei Kitamura,"67,602"
The Purge: Election Year,2016,Action/Horror/Sci-Fi,6,James DeMonaco,105370
Circle II,2015,Drama/Horror/Mystery,6,Aaron Hann,"61,323"
Unfriended: Dark Web,2018,Horror/Mystery/Thriller,6,Stephen Susco,"35,242"
Mimic,1997,Horror/Sci-Fi,6,Guillermo del Toro,"53,560"
Friday the 13th Part VI: Jason Lives,1986,Horror/Thriller,6,Tom McLoughlin,"47,804"
Captive State,2019,Action/Horror/Sci-Fi,6,Rupert Wyatt,"55,880"
Saw VI,2009,Horror/Mystery/Thriller,6,Kevin Greutert,116425
Creepshow 2,1987,Fantasy/Horror,6,Michael Gornick,"27,039"
The Rite,2011,Drama/Horror/Mystery,6,Mikael H?fstr?m,100541
Firestarter,1984,Action/Horror/Sci-Fi,6,Mark L. Lester,"35,640"
V/H/S/2,2013,Horror/Sci-Fi,6,Simon Barrett,"41,967"
Relic,2020,Drama/Horror/Mystery,6,Natalie Erika James,"28,230"
Crimes of the Future,2022,Drama/Horror/Sci-Fi,5.9,David Cronenberg,"35,488"
Orphan: First Kill,2022,Crime/Drama/Horror,5.9,William Brent Bell,"40,062"
Hostel,2005,Horror,5.9,Eli Roth,185172
Underwater,2020,Action/Horror/Sci-Fi,5.9,William Eubank,"88,253"
Vivarium,2019,Horror/Mystery/Sci-Fi,5.9,Lorcan Finnegan,"64,794"
Abraham Lincoln: Vampire Hunter,2012,Action/Fantasy/Horror,5.9,Timur Bekmambetov,158657
Candyman,2021,Horror/Thriller,5.9,Nia DaCosta,"70,762"
The Last House on the Left,1972,Crime/Horror/Thriller,5.9,Wes Craven,"38,780"
The Amityville Horror,2005,Horror,5.9,Andrew Douglas,114596
Annabelle Comes Home,2019,Horror/Mystery/Thriller,5.9,Gary Dauberman,"80,369"
Final Destination 5,2011,Horror/Thriller,5.9,Steven Quale,120525
The Grudge,2004,Horror/Mystery/Thriller,5.9,Takashi Shimizu,147865
Antlers,2021,Drama/Horror/Mystery,5.9,Scott Cooper,"41,508"
The Void I,2016,Horror/Mystery/Sci-Fi,5.9,Jeremy Gillespie,"39,049"
King Kong,1976,Adventure/Horror,5.9,John Guillermin,"34,098"
The Fourth Kind,2009,Horror/Mystery/Sci-Fi,5.9,Olatunde Osunsanmi,"79,762"
The Brothers Grimm,2005,Action/Adventure/Comedy,5.9,Terry Gilliam,123953
Hide and Seek,2005,Horror/Mystery,5.9,John Polson,"87,067"
The Possession I,2012,Horror/Mystery/Thriller,5.9,Ole Bornedal,"61,689"
The Ruins,2008,Adventure/Horror/Thriller,5.9,Carter Smith,"77,800"
Cam,2018,Drama/Horror/Mystery,5.9,Daniel Goldhaber,"34,079"
Saw IV,2007,Horror/Mystery/Thriller,5.9,Darren Lynn Bousman,155334
Child's Play 2,1990,Horror/Thriller,5.9,John Lafia,"54,569"
Victor Frankenstein,2015,Drama/Horror/Sci-Fi,5.9,Paul McGuigan,"58,423"
The X Files: I Want to Believe,2008,Crime/Drama/Horror,5.9,Chris Carter,"92,694"
The Tall Man,2012,Crime/Drama/Horror,5.9,Pascal Laugier,"42,238"
Quarantine,2008,Horror/Sci-Fi/Thriller,5.9,John Erick Dowdle,"75,253"
P2,2007,Crime/Horror/Thriller,5.9,Franck Khalfoun,"35,242"
Pathology,2008,Crime/Horror/Thriller,5.9,Marc Sch?lermann,"32,857"
The Prodigy,2019,Fantasy/Horror/Mystery,5.9,Nicholas McCarthy,"27,470"
Old,2021,Drama/Horror/Mystery,5.8,M. Night Shyamalan,138969
End of Days,1999,Action/Fantasy/Horror,5.8,Peter Hyams,113770
Army of the Dead,2021,Action/Crime/Drama,5.8,Zack Snyder,178772
Cannibal Holocaust,1980,Adventure/Horror,5.8,Ruggero Deodato,"58,322"
I Know What You Did Last Summer,1997,Horror/Mystery,5.8,Jim Gillespie,152273
Species,1995,Action/Horror/Sci-Fi,5.8,Roger Donaldson,"82,499"
Carrie,2013,Drama/Horror/Thriller,5.8,Kimberly Peirce,144154
Splice,2009,Horror/Sci-Fi,5.8,Vincenzo Natali,"99,872"
Final Destination 3,2006,Horror/Thriller,5.8,James Wong,147716
High Life,2018,Adventure/Drama/Horror,5.8,Claire Denis,"38,180"
The Babysitter: Killer Queen,2020,Comedy/Horror,5.8,McG,"46,011"
Hollow Man,2000,Action/Horror/Sci-Fi,5.8,Paul Verhoeven,134598
Jaws 2,1978,Adventure/Horror/Thriller,5.8,Jeannot Szwarc,"80,981"
Blade: Trinity,2004,Action/Horror/Sci-Fi,5.8,David S. Goyer,182834
